state_id,state,year,complaints_total,complaints_per100k,log_complaints_per100k,cso_broad_lag,log_cso_broad_lag,cso_strict_lag,cso_broad_t,log_cso_broad_t,red_tdt_n,red_tdt_dummy,log_red_tdt,political_alignment,governor_party,governor,staff_total,log_staff,staff_visitadurias,log_staff_visitadurias,share_visitadurias,visitadurias_n,budget_real2020,log_budget_real,budget_nominal,population,gdp_percapita_2018,log_gdp_percapita,homicides,homicide_rate,log_homicide_rate,marginalization_index,marginalization_grade,offices_total,gdp_deflator,log_complaints_total,complaints_accepted,complaints_accepted_per100k,log_complaints_accepted_per100k,n_eventos_lag,n_personas_lag,log_eventos_lag,log_personas_lag,personas_per100k_lag,log_personas_per100k_lag,pob_gral_lag,pob_gral_per100k_lag,log_pob_gral_lag,log_pob_gral_per100k_lag,log_personal,log_tasa_homicidios,log_presupuesto,log_osc_amplia_lag,congruencia,log_quejas
01,Aguascalientes,2019,430.0,29.93724318370746,3.399103296719557,6,1.791759469228055,1,6,1.791759469228055,0,0,,0,PAN,Martín Orozco Sandoval,36.0,3.58351893845611,14.0,2.6390573296152584,0.3888888888888889,,20705578.507054493,16.845913715023276,19797028.0,1436338,198421.262961782,12.19814764027678,91,6.335556115621811,1.846177594548799,0.815030688510175,Muy bajo,1.0,95.612049638,6.063785208687608,258.0,17.962345910224474,2.888277672953566,736.0,,6.601230118728877,,,,,,,,3.58351893845611,1.846177594548799,16.845913715023276,1.791759469228055,0,3.399103296719557
01,Aguascalientes,2020,409.0,28.089694722021907,3.335402773204548,6,1.791759469228055,1,5,1.6094379124341005,0,0,,0,PAN,Martín Orozco Sandoval,35.0,3.555348061489413,14.0,2.6390573296152584,0.4,1.0,19671000.0,16.794656027913867,19671000.0,1456050,177191.7173173998,12.084987574059546,72,4.9448851344390645,1.5983537361778015,0.816929192948377,Muy bajo,,100.0,6.013715156042802,1275.0,87.56567425569177,4.472389074754273,1048.0,55476.0,6.954638864880987,10.923705773776224,3810.0339960852993,8.245393390937972,53783.0,3693.7605164657807,10.892712711085943,8.21440032824769,3.555348061489413,1.5983537361778015,16.794656027913867,1.791759469228055,0,3.335402773204548
01,Aguascalientes,2021,385.0,26.143435790703123,3.263598137611764,5,1.6094379124341005,0,5,1.6094379124341005,0,0,,0,PAN,Martín Orozco Sandoval,36.0,3.58351893845611,13.0,2.5649493574615367,0.3611111111111111,1.0,17894673.0413272,16.70001363106409,18701273.0,1472645,196245.5310003429,12.187121863412594,75,5.092877102085024,1.62784291686029,0.816929192948377,Muy bajo,,104.507486428,5.953243334287785,1217.0,82.64041910983299,4.414498896311507,434.0,53089.0,6.073044534100405,10.879725029461348,3605.010032967891,8.190079832785328,51651.0,3507.3626026639145,10.852264835444583,8.162619638768561,3.58351893845611,1.62784291686029,16.70001363106409,1.6094379124341005,0,3.263598137611764
01,Aguascalientes,2022,505.0,33.867023980535514,3.5224417970269783,5,1.6094379124341005,0,10,2.302585092994046,0,0,,0,PAN,Martín Orozco Sandoval,42.0,3.737669618283368,15.0,2.70805020110221,0.3571428571428571,1.0,18098811.359494656,16.711356823333485,20172938.0,1491126,211249.7535419542,12.260796378553437,70,4.694438967598982,1.5463786098009773,0.816929192948377,Muy bajo,,111.460015795,6.22455842927536,451.0,30.24559963410201,3.409350707254297,84.0,279577.0,4.430816798843313,12.541033025586264,18749.388046348868,9.83891639333788,236434.0,15856.071183789969,12.37342437819947,9.671307745951088,3.737669618283368,1.5463786098009773,16.711356823333485,1.6094379124341005,0,3.5224417970269783
01,Aguascalientes,2023,706.0,46.729002891770726,3.8443650188380056,10,2.302585092994046,0,10,2.302585092994046,0,0,,0,PAN,María Teresa Jiménez Esquivel,43.0,3.7612001156935615,17.0,2.833213344056216,0.3953488372093023,1.0,18177919.120988622,16.71571818037098,21205200.0,1510839,221069.220479482,12.306231146297646,85,5.626013096034719,1.72740103783508,0.816929192948377,Muy bajo,,116.653616175,6.559615237493242,1095.0,72.47628635480021,4.283259423595365,306.0,63368.0,5.723585101952381,11.056714281144115,4194.225857288566,8.34146406248888,45696.0,3024.5446404282657,10.729766045699256,8.01451582704402,3.7612001156935615,1.72740103783508,16.71571818037098,2.302585092994046,0,3.8443650188380056
01,Aguascalientes,2024,669.0,43.72020376621128,3.777810324006792,10,2.302585092994046,0,10,2.302585092994046,0,0,,0,PAN,María Teresa Jiménez Esquivel,42.0,3.737669618283368,16.0,2.772588722239781,0.3809523809523809,1.0,20072114.13360136,16.81484205322194,24563164.0,1530185,,,112,7.31937641527005,1.9905251351736584,0.816929192948377,Muy bajo,1.0,122.374573184,6.505784060128229,497.0,32.479732842760846,3.4806162899751927,392.0,64827.0,5.971261839790462,11.079477462225585,4236.546561363495,8.351503726104147,57995.0,3790.0646000320226,10.968112078915977,8.240138342794541,3.737669618283368,1.9905251351736584,16.81484205322194,2.302585092994046,0,3.777810324006792
02,Baja California,2019,2557.0,67.86597730192265,4.2175348383229165,39,3.6635616461296463,2,39,3.6635616461296463,1,1,0.0,0,PAN,Francisco Vega de Lamadrid,145.0,4.976733742420574,64.0,4.158883083359672,0.4413793103448276,,70995627.91196734,18.07812885440486,67880375.0,3767720,228785.5785461765,12.340540505671605,2606,69.16649857208073,4.23651662071652,0.7959762175903404,Bajo,9.0,95.612049638,7.846589975291186,2557.0,67.86597730192265,4.2175348383229165,1745.0,,7.464509834636527,,,,,,,,4.976733742420574,4.23651662071652,18.07812885440486,3.6635616461296463,0,4.2175348383229165
02,Baja California,2020,1834.0,47.777599183456346,3.866556893323721,39,3.6635616461296463,2,38,3.6375861597263857,1,1,0.0,1,MORENA,Jaime Bonilla Valdez,127.0,4.844187086458591,55.0,4.007333185232471,0.4330708661417323,5.0,67880375.0,18.03325752276996,67880375.0,3838619,208408.2843335064,12.247254340151422,2629,68.48817243909853,4.226661065237192,0.786562581103815,Bajo,,100.0,7.51425465281641,1542.0,40.17069680528336,3.693137794630586,1823.0,58047.0,7.508238774678663,10.96900830620404,1512.1844600883808,7.321310546711349,25008.0,651.484296826541,10.126951052661259,6.4792532931685685,4.844187086458591,4.226661065237192,18.03325752276996,3.6635616461296463,1,3.866556893323721
02,Baja California,2021,596.0,15.321632165144573,2.7292656968324702,38,3.6375861597263857,1,36,3.58351893845611,1,1,0.0,1,MORENA,Jaime Bonilla Valdez,116.0,4.7535901911063645,56.0,4.02535169073515,0.4827586206896552,5.0,39948515.10352125,17.50310206061272,41749189.0,3889925,225711.2926341768,12.32701199537842,2670,68.63885550492618,4.228858781161415,0.786562581103815,Bajo,,104.507486428,6.39024066706535,1545.0,39.71798942138987,3.681804219098966,899.0,37075.0,6.80128303447162,10.520698167006133,953.1032089307636,6.8597231967732535,20714.0,532.50384004833,9.938565079148825,6.277590108915945,4.7535901911063645,4.228858781161415,17.50310206061272,3.6375861597263857,1,2.7292656968324702
02,Baja California,2022,889.0,22.51658413540749,3.1142521103904848,36,3.58351893845611,1,38,3.6375861597263857,1,1,0.0,1,MORENA,Marina del Pilar Ávila Olmeda,122.0,4.804021044733257,64.0,4.158883083359672,0.5245901639344263,6.0,38354129.6805717,17.462372763958438,42749519.0,3948201,232764.2387001067,12.35778136920845,2399,60.76185077710076,4.106962137716275,0.786562581103815,Bajo,,111.460015795,6.790097235513905,889.0,22.51658413540749,3.1142521103904848,1484.0,56995.0,7.302496423727326,10.95071882367088,1443.56885579027,7.274873698547459,47324.0,1198.621853345359,10.764772845373553,7.088927720250133,4.804021044733257,4.106962137716275,17.462372763958438,3.58351893845611,1,3.1142521103904848
