state_id,state,year,complaints_total,complaints_per100k,log_complaints_per100k,log_complaints_total,complaints_accepted,complaints_accepted_per100k,log_complaints_accepted_per100k,cso_broad_lag,log_cso_broad_lag,cso_broad_t,log_cso_broad_t,staff_total,log_staff,staff_visitadurias,log_staff_visitadurias,budget_nominal,budget_real2020,log_budget_real,population,homicides,homicide_rate,log_homicide_rate,gdp_percapita_2018,log_gdp_percapita,political_alignment,governor,governor_party,red_tdt_n,red_tdt_dummy,log_red_tdt,n_eventos_lag,log_eventos_lag
02,Baja California,2023,1139.0,28.400378006787168,3.346402455176721,7.037905963447182,1139.0,28.400378006787168,3.346402455176721,38,3.6375861597263857,42,3.737669618283368,112.0,4.718498871295094,25.0,3.218875824868201,43311580.0,37128242.49489945,17.42988849120318,4010510,2116,52.761369501634455,3.965779284707729,236368.3219839871,12.37314655377526,1,Marina del Pilar Ávila Olmeda,MORENA,1,1,0.0,1939.0,7.569927655242652
02,Baja California,2024,1000.0,24.558728761611366,3.20106734141861,6.907755278982137,1000.0,24.558728761611366,3.20106734141861,42,3.737669618283368,0,,108.0,4.68213122712422,23.0,3.1354942159291497,47316067.0,38664814.70888662,17.470440563795677,4071872,2089,51.30318438300614,3.9377528239930384,232737.4261764613,12.35766617080768,1,Marina del Pilar Ávila Olmeda,MORENA,1,1,0.0,2723.0,7.909489492673759
03,Baja California Sur,2019,292.0,36.602578726882086,3.6001186949439776,5.676753802268282,282.0,35.34906575678339,3.5652719636138097,8,2.079441541679836,8,2.079441541679836,34.0,3.5263605246161616,17.0,2.833213344056216,11348618.13,11869449.577458898,16.289478394614218,797758,81,10.153455057799482,2.3178140473481346,222950.75699648264,12.314706205414211,0,Carlos Mendoza Davis,PAN,1,1,0.0,77.0,4.343805421853684
03,Baja California Sur,2020,176.0,21.592495626292788,3.072345829615506,5.170483995038151,175.0,21.46981099205249,3.066647808500868,8,2.079441541679836,9,2.19722457733622,31.0,3.4339872044851463,14.0,2.6390573296152584,11384283.0,11384283.0,16.247744277894697,815098,62,7.606447322898597,2.028996219622446,186396.3474330694,12.135630585725488,0,Carlos Mendoza Davis,PAN,1,1,0.0,92.0,4.5217885770490405
03,Baja California Sur,2021,168.0,20.196385808672904,3.005503668036274,5.123963979403259,167.0,20.076169226478424,2.99953350104977,9,2.19722457733622,10,2.302585092994046,29.0,3.367295829986474,13.0,2.5649493574615367,11384283.0,10893321.021558365,16.20366040907543,831832,48,5.770395945335116,1.752740699540906,205647.98541051557,12.233921177405946,1,Victor Manuel Castro Cosío,MORENA,1,1,0.0,54.0,3.9889840465642745
03,Baja California Sur,2022,154.0,18.134202519005584,2.897799797078432,5.0369526024136295,97.0,11.422192495737283,2.435558173168186,10,2.302585092994046,14,2.6390573296152584,30.0,3.4011973816621555,13.0,2.5649493574615367,13454345.0,12071007.536335904,16.306317064017087,849224,39,4.592427910657259,1.5244088407944496,209755.99370719623,12.25370019940245,1,Victor Manuel Castro Cosío,MORENA,1,1,0.0,7.0,1.9459101490553128
03,Baja California Sur,2023,0.0,0.0,,,0.0,0.0,,14,2.6390573296152584,18,2.8903717578961645,,,,,,,,867766,24,2.7657225565417405,1.0173019232737797,208337.5057331124,12.24691466736882,1,Victor Manuel Castro Cosío,MORENA,1,1,0.0,77.0,4.343805421853684
03,Baja California Sur,2024,113.0,12.753230630325604,2.5457846222790783,4.727387818712341,113.0,12.753230630325604,2.5457846222790783,18,2.8903717578961645,0,,28.0,3.332204510175204,10.0,2.302585092994046,13184283.0,10773673.544433096,16.19261608145105,886050,56,6.320185091134812,1.8437484943018867,211220.7674510468,12.260659156714215,1,Victor Manuel Castro Cosío,MORENA,1,1,0.0,,
04,Campeche,2019,278.0,29.694826904794965,3.390972852348122,5.627621113690637,278.0,29.694826904794965,3.390972852348122,1,0.0,1,0.0,64.0,4.158883083359672,24.0,3.1780538303479458,30261360.0,31650169.434798986,17.270254059930302,936190,73,7.797562460611628,2.0538111798058765,578902.7077836763,13.268889707519754,0,Alejandro Moreno Cárdenas,PRI,0,0,,336.0,5.817111159963204
04,Campeche,2020,238.0,25.3412821198089,3.2324347702905656,5.472270673671475,218.0,23.211762613942604,3.14465915940818,1,0.0,1,0.0,66.0,4.189654742026425,23.0,3.1354942159291497,30077745.96,30077745.96,17.219296119397733,939179,77,8.198650097585231,2.1039695184727747,532927.9359951618,13.186141489495135,0,Alejandro Moreno Cárdenas,PRI,0,0,,1031.0,6.93828448401696
04,Campeche,2021,368.0,39.07892668878307,3.665583362334353,5.908082938168931,368.0,39.07892668878307,3.665583362334353,1,0.0,1,0.0,68.0,4.219507705176107,27.0,3.295836866004329,28641485.0,27406283.78960261,17.126282880451914,941684,85,9.02638252322435,2.2001516806557384,519924.1943157152,13.161438299768564,1,Layda Sansores San Román,MORENA,0,0,,193.0,5.262690188904886
04,Campeche,2022,395.0,41.7792679637631,3.732400234762933,5.978885764901122,395.0,41.7792679637631,3.732400234762933,1,0.0,2,0.6931471805599453,70.0,4.248495242049359,18.0,2.8903717578961645,29903762.0,26829142.29319936,17.104999253691012,945445,87,9.202015981892124,2.219422588516394,499955.07300794864,13.122273519383114,1,Layda Sansores San Román,MORENA,0,0,,157.0,5.056245805348308
04,Campeche,2023,308.0,32.41112459236171,3.4785017154827087,5.730099782973574,245.0,25.781576380287724,3.249660143053861,2,0.6931471805599453,2,0.6931471805599453,72.0,4.276666119016055,28.0,3.332204510175204,30880390.0,26471779.79323469,17.091589810070392,950291,94,9.89170685611039,2.291696714779138,535114.630150133,13.190236264890194,1,Layda Sansores San Román,MORENA,0,0,,140.0,4.941642422609304
04,Campeche,2024,337.0,35.300562818765655,3.56389890768653,5.820082930352362,337.0,35.300562818765655,3.56389890768653,2,0.6931471805599453,0,,77.0,4.343805421853684,27.0,3.295836866004329,35221004.0,28781208.580183864,17.17523325229383,954659,95,9.951197233776668,2.297692868934709,495883.3017862923,13.11409589936803,1,Layda Sansores San Román,MORENA,0,0,,363.0,5.8944028342648505
05,Coahuila,2019,2256.0,71.33675787716227,4.267411732825183,7.721348612617949,2020.0,63.87422469497687,4.156915910602484,3,1.0986122886681098,3,1.0986122886681098,76.0,4.330733340286331,47.0,3.8501476017100575,35718363.0,37357615.15290968,17.43604733505053,3162465,221,6.988219632470241,1.944225821724986,301468.73846825183,12.616421603101076,0,Miguel Riquelme Solís,PRI,4,1,1.3862943611198906,141.0,4.948759890378168
05,Coahuila,2020,2046.0,63.99505555308806,4.158805823392198,7.6236419465115715,1942.0,60.74212995312659,4.106637525731896,3,1.0986122886681098,6,1.791759469228055,77.0,4.343805421853684,45.0,3.80666248977032,36729453.78,36729453.78,17.41908954646284,3197122,194,6.067957369158887,1.8030220359439544,263861.5514203086,12.483179818130589,0,Miguel Riquelme Solís,PRI,4,1,1.3862943611198906,3674.0,8.20903626577507
05,Coahuila,2021,2065.0,63.87552778508128,4.156936311269869,7.632885505395133,1858.0,57.47250877708523,4.05130672524852,6,1.791759469228055,6,1.791759469228055,68.0,4.219507705176107,44.0,3.784189633918261,36729453.78,35145448.419723086,17.375005677643568,3232850,137,4.237746879688201,1.444031731702861,285069.51544303016,12.560488343343838,0,Miguel Riquelme Solís,PRI,4,1,1.3862943611198906,2007.0,7.604396348796338
05,Coahuila,2022,1834.0,56.02295658251412,4.025761545706591,7.51425465281641,1653.0,50.49397340834015,3.921853990711205,6,1.791759469228055,16,2.772588722239781,58.0,4.060443010546419,33.0,3.49650756146648,32682101.0,29321820.38399426,17.19384251982194,3273658,129,3.940546019162661,1.3713192972518529,285870.18650085013,12.56329309340755,0,Miguel Riquelme Solís,PRI,4,1,1.3862943611198906,1220.0,7.106606137727303
05,Coahuila,2023,1609.0,48.51151945073744,3.881801284189541,7.383368146992383,1446.0,43.59705228450363,3.774989539915868,16,2.772588722239781,24,3.1780538303479458,58.0,4.060443010546419,33.0,3.49650756146648,31696815.0,27171648.63613764,17.117684658109237,3316738,116,3.497412216460872,1.2520233283035225,279783.38747287245,12.541770966587665,0,Miguel Riquelme Solís,PRI,4,1,1.3862943611198906,595.0,6.38856140554563
05,Coahuila,2024,1549.0,46.115038712518135,3.831139116165117,7.345364840416867,1437.0,42.78070408643548,3.756087161827273,24,3.1780538303479458,0,,58.0,4.060443010546419,33.0,3.49650756146648,32144281.0,26267032.48212462,17.08382519304746,3358991,105,3.125938711952488,1.1397346259057712,274572.3906375456,12.522970223333765,0,Manolo Jiménez Salinas,PRI,4,1,1.3862943611198906,382.0,5.945420608606575
06,Colima,2019,603.0,81.36224414070406,4.39891133421025,6.401917196727186,114.0,15.381916802720172,2.73319258587756,2,0.6931471805599453,2,0.6931471805599453,25.0,3.218875824868201,11.0,2.3978952727983707,9500000.0,9935991.29816341,16.111674207366306,741130,661,89.18813163682485,4.490747977334751,217384.0729696545,12.289420989576366,0,José Ignacio Peralta Sánchez,PRI,1,1,0.0,266.0,5.583496308781699
06,Colima,2020,425.0,57.03763947380428,4.043711391550628,6.052089168924417,215.0,28.85433526321864,3.362260250753874,2,0.6931471805599453,3,1.0986122886681098,25.0,3.218875824868201,11.0,2.3978952727983707,9500000.0,9500000.0,16.06680235657077,745122,544,73.0081785264695,4.290571469482154,198817.4728433733,12.200142460908635,0,José Ignacio Peralta Sánchez,PRI,1,1,0.0,1234.0,7.1180162044653335
06,Colima,2021,761.0,101.69514175180235,4.621979531528049,6.634633357861686,724.0,96.75069990578834,4.57213756605208,3,1.0986122886681098,3,1.0986122886681098,27.0,3.295836866004329,8.0,2.079441541679836,13000000.0,12439358.129120538,16.336376046606542,748315,474,63.34230905434209,4.14855349536144,197333.0696297682,12.192648288861506,0,José Ignacio Peralta Sánchez,PRI,1,1,0.0,1330.0,7.1929342212158
06,Colima,2022,539.0,71.65199728280737,4.271821029430779,6.289715570908998,461.0,61.28306261108386,4.11550350151843,3,1.0986122886681098,3,1.0986122886681098,27.0,3.295836866004329,10.0,2.302585092994046,13445900.0,12063430.827202585,16.305689188674133,752247,738,98.10607420169173,4.586049283122254,197326.7211434542,12.192616116917655,1,Indira Vizcaíno Silva,MORENA,1,1,0.0,55.0,4.007333185232471
