cve_ent,state_name,year,governor,governor_party,political_alignment_morena
17,Morelos,2022,Cuauhtémoc Blanco Bravo,MORENA,1
17,Morelos,2023,Cuauhtémoc Blanco Bravo,MORENA,1
17,Morelos,2024,Lucy Meza,MORENA,1
18,Nayarit,2019,Antonio Echevarría García,PAN,0
18,Nayarit,2020,Antonio Echevarría García,PAN,0
18,Nayarit,2021,Antonio Echevarría García,PAN,0
18,Nayarit,2022,Miguel Ángel Navarro Quintero,MORENA,1
18,Nayarit,2023,Miguel Ángel Navarro Quintero,MORENA,1
18,Nayarit,2024,Miguel Ángel Navarro Quintero,MORENA,1
19,Nuevo León,2019,Jaime Rodríguez Calderón,IND,0
19,Nuevo León,2020,Jaime Rodríguez Calderón,IND,0
19,Nuevo León,2021,Jaime Rodríguez Calderón,IND,0
19,Nuevo León,2022,Samuel García Sepúlveda,MC,0
19,Nuevo León,2023,Samuel García Sepúlveda,MC,0
19,Nuevo León,2024,Samuel García Sepúlveda,MC,0
20,Oaxaca,2019,Alejandro Murat Hinojosa,PRI,0
20,Oaxaca,2020,Alejandro Murat Hinojosa,PRI,0
20,Oaxaca,2021,Alejandro Murat Hinojosa,PRI,0
20,Oaxaca,2022,Salomón Jara Cruz,MORENA,1
20,Oaxaca,2023,Salomón Jara Cruz,MORENA,1
20,Oaxaca,2024,Salomón Jara Cruz,MORENA,1
21,Puebla,2019,Miguel Barbosa Huerta,MORENA,1
21,Puebla,2020,Miguel Barbosa Huerta,MORENA,1
21,Puebla,2021,Miguel Barbosa Huerta,MORENA,1
21,Puebla,2022,Miguel Barbosa Huerta,MORENA,1
21,Puebla,2023,Miguel Barbosa Huerta,MORENA,1
21,Puebla,2024,Alejandro Armenta Mier,MORENA,1
22,Querétaro,2019,Francisco Domínguez Servién,PAN,0
22,Querétaro,2020,Francisco Domínguez Servién,PAN,0
22,Querétaro,2021,Francisco Domínguez Servién,PAN,0
22,Querétaro,2022,Mauricio Kuri González,PAN,0
22,Querétaro,2023,Mauricio Kuri González,PAN,0
22,Querétaro,2024,Mauricio Kuri González,PAN,0
23,Quintana Roo,2019,Carlos Manuel Joaquín González,PRD-PRI,0
23,Quintana Roo,2020,Carlos Manuel Joaquín González,PRD-PRI,0
23,Quintana Roo,2021,Carlos Manuel Joaquín González,PRD-PRI,0
23,Quintana Roo,2022,Mara Lezama Espinosa,MORENA,1
23,Quintana Roo,2023,Mara Lezama Espinosa,MORENA,1
23,Quintana Roo,2024,Mara Lezama Espinosa,MORENA,1
24,San Luis Potosí,2019,Juan Manuel Carreras López,PRI,0
24,San Luis Potosí,2020,Juan Manuel Carreras López,PRI,0
24,San Luis Potosí,2021,Juan Manuel Carreras López,PRI,0
24,San Luis Potosí,2022,Ricardo Gallardo Cardona,MORENA,1
24,San Luis Potosí,2023,Ricardo Gallardo Cardona,MORENA,1
24,San Luis Potosí,2024,Ricardo Gallardo Cardona,MORENA,1
25,Sinaloa,2019,Quirino Ordaz Coppel,PRI,0
25,Sinaloa,2020,Quirino Ordaz Coppel,PRI,0
25,Sinaloa,2021,Quirino Ordaz Coppel,PRI,0
25,Sinaloa,2022,Rubén Rocha Moya,MORENA,1
25,Sinaloa,2023,Rubén Rocha Moya,MORENA,1
25,Sinaloa,2024,Rubén Rocha Moya,MORENA,1
26,Sonora,2019,Claudia Pavlovich Arellano,PRI,0
26,Sonora,2020,Claudia Pavlovich Arellano,PRI,0
26,Sonora,2021,Claudia Pavlovich Arellano,PRI,0
26,Sonora,2022,Alfonso Durazo Montaño,MORENA,1
26,Sonora,2023,Alfonso Durazo Montaño,MORENA,1
26,Sonora,2024,Alfonso Durazo Montaño,MORENA,1
27,Tabasco,2019,Adán Augusto López Hernández,MORENA,1
27,Tabasco,2020,Adán Augusto López Hernández,MORENA,1
27,Tabasco,2021,Adán Augusto López Hernández,MORENA,1
27,Tabasco,2022,Carlos Manuel Merino Campos,MORENA,1
27,Tabasco,2023,Carlos Manuel Merino Campos,MORENA,1
27,Tabasco,2024,Carlos Manuel Merino Campos,MORENA,1
28,Tamaulipas,2019,Francisco García Cabeza de Vaca,PAN,0
28,Tamaulipas,2020,Francisco García Cabeza de Vaca,PAN,0
28,Tamaulipas,2021,Francisco García Cabeza de Vaca,PAN,0
28,Tamaulipas,2022,Francisco García Cabeza de Vaca,PAN,0
28,Tamaulipas,2023,Américo Villarreal Anaya,MORENA,1
28,Tamaulipas,2024,Américo Villarreal Anaya,MORENA,1
29,Tlaxcala,2019,Marco Antonio Mena Rodríguez,PRI,0
29,Tlaxcala,2020,Marco Antonio Mena Rodríguez,PRI,0
29,Tlaxcala,2021,Marco Antonio Mena Rodríguez,PRI,0
29,Tlaxcala,2022,Lorena Cuéllar Cisneros,MORENA,1
29,Tlaxcala,2023,Lorena Cuéllar Cisneros,MORENA,1
29,Tlaxcala,2024,Lorena Cuéllar Cisneros,MORENA,1
30,Veracruz,2019,Cuitláhuac García Jiménez,MORENA,1
30,Veracruz,2020,Cuitláhuac García Jiménez,MORENA,1
30,Veracruz,2021,Cuitláhuac García Jiménez,MORENA,1
30,Veracruz,2022,Cuitláhuac García Jiménez,MORENA,1
30,Veracruz,2023,Cuitláhuac García Jiménez,MORENA,1
30,Veracruz,2024,Cuitláhuac García Jiménez,MORENA,1
31,Yucatán,2019,Mauricio Vila Dosal,PAN,0
31,Yucatán,2020,Mauricio Vila Dosal,PAN,0
31,Yucatán,2021,Mauricio Vila Dosal,PAN,0
31,Yucatán,2022,Mauricio Vila Dosal,PAN,0
31,Yucatán,2023,Mauricio Vila Dosal,PAN,0
31,Yucatán,2024,Mauricio Vila Dosal,PAN,0
32,Zacatecas,2019,Alejandro Tello Cristerna,PRI,0
32,Zacatecas,2020,Alejandro Tello Cristerna,PRI,0
32,Zacatecas,2021,Alejandro Tello Cristerna,PRI,0
32,Zacatecas,2022,David Monreal Ávila,MORENA,1
32,Zacatecas,2023,David Monreal Ávila,MORENA,1
32,Zacatecas,2024,David Monreal Ávila,MORENA,1
